month,subscription_billing_support,hardware_reliability,app_experience,bpi_healthcare_regulatory,accuracy_metrics_blended,event
2025-01,18,12,22,0,40,
2025-02,18,12,21,0,41,
2025-03,19,13,22,0,40,
2025-04,20,14,23,0,42,
2025-05,100,90,30,20,48,"WHOOP 5.0/MG launch + upgrade-fee reversal (2,400-upvote cancel post)"
2025-06,55,45,26,25,47,
2025-07,42,30,24,70,46,FDA warning letter re: Blood Pressure Insights
2025-08,40,25,23,55,45,
2025-09,38,22,25,45,44,
2025-10,37,20,45,40,43,App homescreen redesign
2025-11,36,19,38,38,43,Rowe v. Whoop class action filed
2025-12,35,18,32,35,42,
2026-01,34,17,30,34,42,
2026-02,36,18,29,32,41,
2026-03,38,19,28,30,41,
2026-04,35,18,27,29,40,
2026-05,34,17,26,28,40,
2026-06,33,17,26,20,40,FDA closes BPI warning letter
2026-07,35,18,27,22,41,
